,pickup_cluster,lat,lon
286,2,-10.55,74.44
287,2,-9.87,75.32
288,2,-9.18,76.19
289,2,-8.48,77.07
290,2,-7.71,78.04
291,2,-6.94,79.01
292,2,-6.16,79.98
293,2,-5.45,80.87
294,2,-5.38,80.95
295,2,-4.58,81.94
296,2,-3.77,82.93
297,2,-2.96,83.91
298,2,-2.22,84.82
299,2,-2.15,84.9
300,2,-1.37,85.84
301,2,-0.6,86.78
302,2,0.18,87.72
303,2,0.9,88.58
304,2,0.96,88.66
305,2,1.7,89.57
306,2,2.44,90.48
307,2,3.18,91.39
308,2,3.8,92.15
309,2,3.93,92.31
310,2,4.73,93.3
311,5,5.53,94.29
312,5,6.22,95.3
313,5,5.92,96.2
314,5,5.87,96.51
315,5,5.67,97.75
316,5,5.07,98.77
317,5,4.17,99.64
318,5,3.57,100.22
319,5,3.28,100.53
320,5,2.49,101.52
321,5,1.75,102.55
322,5,1.27,103.32
323,5,1.37,104.4
324,5,2.11,104.79
325,5,2.9,105.13
326,5,3.3,105.3
327,5,4.42,105.9
328,5,5.29,106.85
329,5,6.17,107.81
